id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
40725,50907,Backyard Baseball (GBA),NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
41033,2972,The Lord of the Rings: The Fellowship of the Ring,NULL,2002-09-25 00:00:00.000,12,NULL,50.7500,4,55.1909,46
41055,20283,Kingdom Hearts Final Mix,"Several new cutscenes were added. The first, shown after Sora fights Leon in Traverse Town, has Riku lost in Hollow Bastion, calling out for his friends and Maleficent looking on. Another, played after Sora speaks to Kairi in the underground waterway in Traverse Town, showed Riku lost in the Realm of Darkness after Ansem, Seeker of Darkness took his body. There, he is assisted by King Mickey who reveals that he has the realm's Keyblade. Neither of these cutscenes used any new audio and instead the subtitles were seen on a black screen.

An optional cutscene was a confrontation between Cloud and Sephiroth, seen after the player defeats Sephiroth. Cutscenes were provided for the Unknown, using spliced voice acting for Sora and Goofy, but shaking text on a black screen for the Unknown.

A minor cutscene was also added near the start of the game on the second day on Destiny Islands, where it is revealed that the lucky charm Kairi makes out of Thalassa Shells is the Oathkeeper charm she later gives to Sora.",2002-12-26 00:00:00.000,4,NULL,NULL,NULL,71.9938,31
41196,144894,Dancing Stage EuroMIX 2,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42875,49199,Driver 2 Advance,NULL,2002-11-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42973,62839,Dancing Stage Max,NULL,2002-11-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44571,72121,Critical Bullet: 7th Target,NULL,2002-10-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44779,3840,Burnout 2: Point of Impact,NULL,2002-09-30 00:00:00.000,21,NULL,85.0000,6,75.7021,44
44809,67859,Bomberman Jetters: Densetsu no Bomberman,NULL,2002-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45137,66804,Frontline Attack: War Over Europe,NULL,2002-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45338,6220,Unreal Championship,NULL,2002-09-24 00:00:00.000,5,NULL,80.0000,1,79.5268,7
46401,4072,Pool Edge,NULL,2002-10-25 00:00:00.000,NULL,NULL,NULL,NULL,25.0000,0
46612,135500,Show do Milhão Júnior,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46915,49281,Butt Ugly Martians: B.K.M. Battles,NULL,2002-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47121,44725,Funky Boxers,NULL,2002-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48064,49157,Crazy Chase,NULL,2002-11-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48131,51818,Icewind Dale II Complete,NULL,2002-10-16 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
48359,8265,Shox: Rally Reinvented,NULL,2002-09-23 00:00:00.000,1,NULL,70.0000,1,NULL,NULL
